ID Comuna,cod_comuna,region,provincia,circunscripcion,distrito
2101,15101,15,151,1,1
2102,15102,15,151,1,1
2202,15202,15,152,1,1
2201,15201,15,152,1,1
2307,1107,1,11,1,2
2303,1402,1,14,1,2
2304,1403,1,14,1,2
2302,1404,1,14,1,2
2301,1101,1,11,1,2
2305,1405,1,14,1,2
2306,1401,1,14,1,2
2601,2101,2,21,2,4
2501,2201,2,22,2,3
2402,2302,2,23,2,3
2602,2102,2,21,2,4
2502,2202,2,22,2,3
2503,2203,2,22,2,3
2603,2103,2,21,2,4
2604,2104,2,21,2,4
2401,2301,2,23,2,3
2904,3302,3,33,3,6
2802,3102,3,31,3,6
2701,3201,3,32,3,5
2801,3101,3,31,3,5
2702,3202,3,32,3,5
2902,3303,3,33,3,6
2903,3304,3,33,3,6
2803,3103,3,31,3,6
2901,3301,3,33,3,6
3004,4103,4,41,4,7
3204,4202,4,42,4,9
3104,4302,4,43,4,9
3003,4102,4,41,4,8
3201,4201,4,42,4,9
3002,4104,4,41,4,7
3001,4101,4,41,4,7
3203,4203,4,42,4,9
3103,4303,4,43,4,9
3101,4301,4,43,4,8
3006,4105,4,41,4,7
3105,4304,4,43,4,9
3102,4305,4,43,4,8
3202,4204,4,42,4,9
3005,4106,4,41,4,7
3805,5602,5,56,6,15
3303,5402,5,54,5,10
3603,5502,5,55,5,10
3403,5302,5,53,5,11
3802,5603,5,56,6,15
3707,5102,5,51,6,15
3506,5702,5,57,5,11
3709,5103,5,51,6,14
3804,5604,5,56,6,15
3803,5605,5,56,6,15
3605,5503,5,55,5,10
3901,5201,5,52,6,13
3708,5104,5,51,6,13
3602,5504,5,55,5,10
3301,5401,5,54,5,10
3606,5802,5,58,5,12
3505,5703,5,57,5,11
3401,5301,5,53,5,11
3604,5506,5,55,5,10
3607,5803,5,58,5,12
3504,5704,5,57,5,11
3305,5403,5,54,5,10
3302,5404,5,54,5,10
3704,5105,5,51,5,10
3502,5705,5,57,5,11
3601,5501,5,55,5,10
3705,5801,5,58,5,12
3703,5107,5,51,5,10
3404,5303,5,53,5,11
3801,5601,5,56,6,15
3402,5304,5,53,5,11
3501,5701,5,57,5,11
3503,5706,5,57,5,11
3806,5606,5,56,6,15
3701,5101,5,51,6,13
3706,5804,5,58,5,12
3702,5109,5,51,6,14
3304,5405,5,54,5,10
4705,6302,6,63,9,35
4702,6303,6,63,9,34
4604,6102,6,61,9,33
4615,6103,6,61,9,33
4614,6104,6,61,9,33
4616,6105,6,61,9,33
4602,6106,6,61,9,33
4804,6202,6,62,9,35
4617,6107,6,61,9,34
4803,6203,6,62,9,35
4707,6304,6,63,9,35
4605,6108,6,61,9,33
4609,6109,6,61,9,33
4805,6204,6,62,9,35
4603,6110,6,61,9,33
4704,6305,6,63,9,35
4802,6205,6,62,9,35
4606,6111,6,61,9,33
4709,6306,6,63,9,35
4806,6206,6,62,9,35
4710,6307,6,63,9,35
4613,6112,6,61,9,34
4612,6113,6,61,9,34
4801,6201,6,62,9,35
4703,6308,6,63,9,35
4708,6309,6,63,9,35
4610,6114,6,61,9,33
4601,6101,6,61,9,32
4608,6115,6,61,9,33
4607,6116,6,61,9,33
4701,6301,6,63,9,34
4611,6117,6,61,9,34
4706,6310,6,63,9,35
5201,7201,7,72,11,40
5203,7202,7,72,11,40
5103,7402,7,74,11,39
5008,7102,7,71,10,38
5009,7103,7,71,10,38
4901,7301,7,73,10,36
5006,7104,7,71,10,38
4906,7302,7,73,10,36
4907,7303,7,73,10,36
5101,7401,7,74,11,39
5104,7403,7,74,11,40
5005,7105,7,71,10,38
4904,7304,7,73,10,36
5105,7404,7,74,11,40
5002,7106,7,71,10,38
5202,7203,7,72,11,40
5007,7107,7,71,10,38
4909,7305,7,73,10,36
5106,7405,7,74,11,40
5003,7108,7,71,10,38
4903,7306,7,73,10,36
4905,7307,7,73,10,36
5004,7109,7,71,10,38
5108,7406,7,74,11,39
5010,7110,7,71,10,38
5001,7101,7,71,10,37
4902,7308,7,73,10,36
4908,7309,7,73,10,36
5107,7407,7,74,11,39
5102,7408,7,74,11,39
5514,8314,8,83,13,47
5504,8302,8,83,13,47
5602,8202,8,82,13,46
5311,16102,16,161,12,42
5502,8303,8,83,12,42
5605,8203,8,82,13,46
5411,8103,8,81,12,44
5301,16101,16,161,13,41
5321,16103,16,161,13,41
5317,16202,16,162,12,42
5315,16203,16,162,12,42
5305,16302,16,163,13,41
5401,8101,8,81,12,44
5606,8204,8,82,13,46
5409,8102,8,81,12,45
5603,8205,8,82,13,46
5308,16104,16,161,13,41
5405,8104,8,81,12,45
5412,8112,8,81,12,43
5406,8105,8,81,12,45
5511,8304,8,83,13,47
5601,8201,8,82,13,46
5604,8206,8,82,13,46
5501,8301,8,83,13,47
5408,8106,8,81,13,46
5508,8305,8,83,13,47
5510,8306,8,83,13,47
5509,8307,8,83,13,47
5319,16204,16,162,12,42
5303,16303,16,163,12,42
5310,16105,16,161,13,41
5403,8107,8,81,12,45
5306,16106,16,161,13,41
5314,16205,16,162,12,42
5507,8308,8,83,13,47
5505,8309,8,83,13,47
5312,16107,16,161,12,42
5318,16201,16,162,12,42
5313,16206,16,162,12,42
5302,16301,16,163,12,42
5304,16304,16,163,12,42
5307,16108,16,161,13,41
5320,16305,16,163,12,42
5410,8108,8,81,12,44
5512,8310,8,83,13,47
5506,8311,8,83,13,47
5407,8109,8,81,12,45
5402,8110,8,81,12,43
5607,8207,8,82,13,46
5404,8111,8,81,12,45
5316,16207,16,162,12,42
5503,8312,8,83,13,47
5513,8313,8,83,12,42
5309,16109,16,161,13,41
5701,9201,9,92,14,48
5817,9102,9,91,15,51
5821,9121,9,91,15,52
5703,9202,9,92,14,48
5805,9103,9,91,15,52
5705,9203,9,92,14,49
5807,9104,9,91,15,52
5706,9204,9,92,14,48
5810,9105,9,91,15,51
5819,9106,9,91,14,49
5812,9107,9,91,15,52
5802,9108,9,91,14,49
5813,9109,9,91,15,52
5704,9205,9,92,14,49
5711,9206,9,92,14,48
5709,9207,9,92,14,48
5806,9110,9,91,14,49
5818,9111,9,91,15,51
5820,9112,9,91,15,50
5803,9113,9,91,14,49
5811,9114,9,91,15,51
5808,9115,9,91,15,52
5710,9208,9,92,14,48
5702,9209,9,92,14,48
5816,9116,9,91,15,51
5801,9101,9,91,15,50
5815,9117,9,91,15,51
5814,9118,9,91,15,52
5708,9210,9,92,14,48
5707,9211,9,92,14,49
5804,9119,9,91,14,49
5809,9120,9,91,15,52
5906,14102,14,141,16,53
5905,14202,14,142,16,54
5909,14201,14,142,16,54
5912,14203,14,142,16,54
5903,14103,14,141,16,53
5904,14104,14,141,16,54
5907,14105,14,141,16,53
5902,14106,14,141,16,53
5910,14107,14,141,16,54
5908,14108,14,141,16,54
5911,14204,14,142,16,54
5901,14101,14,141,16,53
6202,10202,10,102,17,58
6104,10102,10,101,17,57
6201,10201,10,102,17,58
6301,10401,10,104,17,58
6208,10203,10,102,17,58
6103,10103,10,101,17,57
6205,10204,10,102,17,58
6204,10205,10,102,17,58
6107,10104,10,101,17,56
6109,10105,10,101,17,56
6303,10402,10,104,17,58
6302,10403,10,104,17,58
6108,10107,10,101,17,56
6106,10106,10,101,17,56
6105,10108,10,101,17,57
6001,10301,10,103,17,55
6304,10404,10,104,17,58
6101,10101,10,101,17,57
6004,10302,10,103,17,56
6102,10109,10,101,17,56
6207,10206,10,102,17,58
6005,10303,10,103,17,56
6003,10304,10,103,17,56
6209,10207,10,102,17,58
6210,10208,10,102,17,58
6203,10209,10,102,17,58
6206,10210,10,102,17,58
6006,10305,10,103,17,56
6007,10306,10,103,17,55
6002,10307,10,103,17,55
6501,11201,11,112,18,59
6601,11401,11,114,18,59
6502,11202,11,112,18,59
6701,11301,11,113,18,59
6401,11101,11,111,18,59
6503,11203,11,112,18,59
6402,11102,11,111,18,59
6702,11302,11,113,18,59
6602,11402,11,114,18,59
6703,11303,11,113,18,59
7102,12202,12,122,19,60
7101,12201,12,122,19,60
6903,12102,12,121,19,60
6801,12401,12,124,19,60
7001,12301,12,123,19,60
7002,12302,12,123,19,60
6901,12101,12,121,19,60
6902,12103,12,121,19,60
6904,12104,12,121,19,60
7003,12303,12,123,19,60
6802,12402,12,124,19,60
4402,13502,13,135,7,31
4303,13402,13,134,7,30
4302,13403,13,134,7,30
4114,13102,13,131,7,20
4111,13103,13,131,7,18
4001,13301,13,133,7,16
4105,13104,13,131,7,17
4403,13503,13,135,7,31
4117,13105,13,131,8,27
4503,13602,13,136,7,31
4104,13106,13,131,7,20
4106,13107,13,131,7,17
4102,13108,13,131,7,19
4504,13603,13,136,7,31
4115,13109,13,131,8,27
4124,13110,13,131,8,26
4118,13111,13,131,8,25
4119,13112,13,131,8,29
4128,13113,13,131,8,24
4002,13302,13,133,7,16
4130,13114,13,131,8,23
4132,13115,13,131,8,23
4116,13116,13,131,8,28
4112,13117,13,131,7,18
4126,13118,13,131,8,25
4113,13119,13,131,7,20
4404,13504,13,135,7,31
4401,13501,13,135,7,31
4125,13120,13,131,8,21
4505,13604,13,136,7,31
4304,13404,13,134,7,30
4122,13121,13,131,8,28
4502,13605,13,136,7,31
4127,13122,13,131,8,24
4202,13202,13,132,8,29
4129,13123,13,131,8,21
4110,13124,13,131,7,16
4201,13201,13,132,8,29
4107,13125,13,131,7,16
4109,13126,13,131,7,18
4103,13127,13,131,7,19
4108,13128,13,131,7,17
4301,13401,13,134,7,30
4123,13129,13,131,8,25
4203,13203,13,132,8,29
4121,13130,13,131,8,28
4405,13505,13,135,7,31
4120,13131,13,131,8,27
4101,13101,13,131,7,22
4501,13601,13,136,7,31
4003,13303,13,133,7,16
4131,13132,13,131,8,23